id_pacote,id_carrinho,id_bancada,id_op_pack,dt_inicio_pack,dt_fim_pack,tempo_ciclo_carrinho_min
PKT-0000054,CAR-00002,L02-B11,OP-PCK-24,2026-08-01 06:22:36.979158,2026-08-01 06:30:17.987143,14.15
PKT-0000055,CAR-00002,L01-B04,OP-PCK-17,2026-08-01 06:22:36.979158,2026-08-01 06:30:42.250721,14.15
PKT-0000056,CAR-00002,L01-B04,OP-PCK-05,2026-08-01 06:22:36.979158,2026-08-01 06:31:06.514299,14.15
PKT-0000057,CAR-00002,L02-B07,OP-PCK-14,2026-08-01 06:22:36.979158,2026-08-01 06:31:30.777877,14.15
PKT-0000058,CAR-00002,L02-B10,OP-PCK-14,2026-08-01 06:22:36.979158,2026-08-01 06:31:55.041455,14.15
PKT-0000059,CAR-00002,L02-B01,OP-PCK-11,2026-08-01 06:22:36.979158,2026-08-01 06:32:19.305033,14.15
PKT-0000060,CAR-00002,L02-B07,OP-PCK-18,2026-08-01 06:22:36.979158,2026-08-01 06:32:43.568611,14.15
PKT-0000061,CAR-00002,L02-B13,OP-PCK-18,2026-08-01 06:22:36.979158,2026-08-01 06:33:07.832190,14.15
PKT-0000062,CAR-00002,L02-B12,OP-PCK-10,2026-08-01 06:22:36.979158,2026-08-01 06:33:32.095768,14.15
PKT-0000063,CAR-00002,L02-B10,OP-PCK-05,2026-08-01 06:22:36.979158,2026-08-01 06:33:56.359346,14.15
PKT-0000064,CAR-00002,L02-B02,OP-PCK-21,2026-08-01 06:22:36.979158,2026-08-01 06:34:20.622924,14.15
PKT-0000065,CAR-00002,L02-B06,OP-PCK-03,2026-08-01 06:22:36.979158,2026-08-01 06:34:44.886502,14.15
PKT-0000066,CAR-00002,L02-B14,OP-PCK-09,2026-08-01 06:22:36.979158,2026-08-01 06:35:09.150080,14.15
PKT-0000067,CAR-00002,L01-B13,OP-PCK-02,2026-08-01 06:22:36.979158,2026-08-01 06:35:33.413658,14.15
PKT-0000068,CAR-00002,L02-B07,OP-PCK-17,2026-08-01 06:22:36.979158,2026-08-01 06:35:57.677237,14.15
PKT-0000069,CAR-00002,L02-B12,OP-PCK-02,2026-08-01 06:22:36.979158,2026-08-01 06:36:21.940815,14.15
PKT-0000070,CAR-00002,L02-B04,OP-PCK-01,2026-08-01 06:22:36.979158,2026-08-01 06:36:46.204393,14.15
PKT-0000071,CAR-00003,L01-B05,OP-PCK-17,2026-08-01 07:07:13.507489,2026-08-01 07:07:48.162790,20.22
PKT-0000072,CAR-00003,L02-B05,OP-PCK-02,2026-08-01 07:07:13.507489,2026-08-01 07:08:22.818090,20.22
PKT-0000073,CAR-00003,L01-B06,OP-PCK-18,2026-08-01 07:07:13.507489,2026-08-01 07:08:57.473391,20.22
PKT-0000074,CAR-00003,L02-B03,OP-PCK-14,2026-08-01 07:07:13.507489,2026-08-01 07:09:32.128692,20.22
PKT-0000075,CAR-00003,L02-B01,OP-PCK-03,2026-08-01 07:07:13.507489,2026-08-01 07:10:06.783993,20.22
PKT-0000076,CAR-00003,L01-B10,OP-PCK-17,2026-08-01 07:07:13.507489,2026-08-01 07:10:41.439293,20.22
PKT-0000077,CAR-00003,L01-B11,OP-PCK-08,2026-08-01 07:07:13.507489,2026-08-01 07:11:16.094594,20.22
PKT-0000078,CAR-00003,L01-B13,OP-PCK-21,2026-08-01 07:07:13.507489,2026-08-01 07:11:50.749895,20.22
PKT-0000079,CAR-00003,L02-B07,OP-PCK-14,2026-08-01 07:07:13.507489,2026-08-01 07:12:25.405196,20.22
PKT-0000080,CAR-00003,L01-B08,OP-PCK-11,2026-08-01 07:07:13.507489,2026-08-01 07:13:00.060496,20.22
PKT-0000081,CAR-00003,L01-B05,OP-PCK-20,2026-08-01 07:07:13.507489,2026-08-01 07:13:34.715797,20.22
PKT-0000082,CAR-00003,L01-B05,OP-PCK-15,2026-08-01 07:07:13.507489,2026-08-01 07:14:09.371098,20.22
PKT-0000083,CAR-00003,L01-B08,OP-PCK-13,2026-08-01 07:07:13.507489,2026-08-01 07:14:44.026398,20.22
PKT-0000084,CAR-00003,L02-B03,OP-PCK-01,2026-08-01 07:07:13.507489,2026-08-01 07:15:18.681699,20.22
PKT-0000085,CAR-00003,L01-B09,OP-PCK-22,2026-08-01 07:07:13.507489,2026-08-01 07:15:53.337000,20.22
PKT-0000086,CAR-00003,L02-B01,OP-PCK-24,2026-08-01 07:07:13.507489,2026-08-01 07:16:27.992301,20.22
PKT-0000087,CAR-00003,L02-B09,OP-PCK-24,2026-08-01 07:07:13.507489,2026-08-01 07:17:02.647601,20.22
PKT-0000088,CAR-00003,L01-B13,OP-PCK-05,2026-08-01 07:07:13.507489,2026-08-01 07:17:37.302902,20.22
PKT-0000089,CAR-00003,L01-B13,OP-PCK-01,2026-08-01 07:07:13.507489,2026-08-01 07:18:11.958203,20.22
PKT-0000090,CAR-00003,L01-B04,OP-PCK-04,2026-08-01 07:07:13.507489,2026-08-01 07:18:46.613504,20.22
PKT-0000091,CAR-00003,L01-B04,OP-PCK-10,2026-08-01 07:07:13.507489,2026-08-01 07:19:21.268804,20.22
PKT-0000092,CAR-00003,L02-B09,OP-PCK-06,2026-08-01 07:07:13.507489,2026-08-01 07:19:55.924105,20.22
PKT-0000093,CAR-00003,L01-B08,OP-PCK-12,2026-08-01 07:07:13.507489,2026-08-01 07:20:30.579406,20.22
PKT-0000094,CAR-00003,L02-B04,OP-PCK-16,2026-08-01 07:07:13.507489,2026-08-01 07:21:05.234706,20.22
PKT-0000095,CAR-00003,L01-B14,OP-PCK-01,2026-08-01 07:07:13.507489,2026-08-01 07:21:39.890007,20.22
PKT-0000096,CAR-00003,L02-B07,OP-PCK-04,2026-08-01 07:07:13.507489,2026-08-01 07:22:14.545308,20.22
PKT-0000097,CAR-00003,L02-B08,OP-PCK-16,2026-08-01 07:07:13.507489,2026-08-01 07:22:49.200609,20.22
PKT-0000098,CAR-00003,L02-B03,OP-PCK-17,2026-08-01 07:07:13.507489,2026-08-01 07:23:23.855909,20.22
PKT-0000099,CAR-00003,L01-B14,OP-PCK-18,2026-08-01 07:07:13.507489,2026-08-01 07:23:58.511210,20.22
PKT-0000100,CAR-00003,L01-B14,OP-PCK-22,2026-08-01 07:07:13.507489,2026-08-01 07:24:33.166511,20.22
PKT-0000101,CAR-00003,L01-B03,OP-PCK-12,2026-08-01 07:07:13.507489,2026-08-01 07:25:07.821811,20.22
PKT-0000102,CAR-00003,L02-B05,OP-PCK-10,2026-08-01 07:07:13.507489,2026-08-01 07:25:42.477112,20.22
PKT-0000103,CAR-00003,L01-B01,OP-PCK-13,2026-08-01 07:07:13.507489,2026-08-01 07:26:17.132413,20.22
PKT-0000104,CAR-00003,L02-B03,OP-PCK-19,2026-08-01 07:07:13.507489,2026-08-01 07:26:51.787714,20.22
PKT-0000105,CAR-00003,L02-B11,OP-PCK-16,2026-08-01 07:07:13.507489,2026-08-01 07:27:26.443014,20.22
PKT-0000106,CAR-00004,L01-B03,OP-PCK-06,2026-08-01 07:10:46.134787,2026-08-01 07:11:08.582608,13.09
PKT-0000107,CAR-00004,L02-B06,OP-PCK-13,2026-08-01 07:10:46.134787,2026-08-01 07:11:31.030429,13.09
PKT-0000108,CAR-00004,L02-B14,OP-PCK-10,2026-08-01 07:10:46.134787,2026-08-01 07:11:53.478250,13.09
PKT-0000109,CAR-00004,L01-B04,OP-PCK-01,2026-08-01 07:10:46.134787,2026-08-01 07:12:15.926071,13.09
PKT-0000110,CAR-00004,L01-B08,OP-PCK-04,2026-08-01 07:10:46.134787,2026-08-01 07:12:38.373892,13.09
PKT-0000111,CAR-00004,L02-B11,OP-PCK-19,2026-08-01 07:10:46.134787,2026-08-01 07:13:00.821713,13.09
PKT-0000112,CAR-00004,L01-B12,OP-PCK-11,2026-08-01 07:10:46.134787,2026-08-01 07:13:23.269534,13.09
PKT-0000113,CAR-00004,L02-B12,OP-PCK-09,2026-08-01 07:10:46.134787,2026-08-01 07:13:45.717355,13.09
PKT-0000114,CAR-00004,L01-B10,OP-PCK-03,2026-08-01 07:10:46.134787,2026-08-01 07:14:08.165176,13.09
PKT-0000115,CAR-00004,L01-B04,OP-PCK-23,2026-08-01 07:10:46.134787,2026-08-01 07:14:30.612996,13.09
PKT-0000116,CAR-00004,L02-B03,OP-PCK-10,2026-08-01 07:10:46.134787,2026-08-01 07:14:53.060817,13.09
PKT-0000117,CAR-00004,L02-B11,OP-PCK-08,2026-08-01 07:10:46.134787,2026-08-01 07:15:15.508638,13.09
PKT-0000118,CAR-00004,L02-B04,OP-PCK-11,2026-08-01 07:10:46.134787,2026-08-01 07:15:37.956459,13.09
PKT-0000119,CAR-00004,L02-B12,OP-PCK-21,2026-08-01 07:10:46.134787,2026-08-01 07:16:00.404280,13.09
PKT-0000120,CAR-00004,L02-B02,OP-PCK-13,2026-08-01 07:10:46.134787,2026-08-01 07:16:22.852101,13.09
PKT-0000121,CAR-00004,L02-B03,OP-PCK-15,2026-08-01 07:10:46.134787,2026-08-01 07:16:45.299922,13.09
PKT-0000122,CAR-00004,L02-B12,OP-PCK-21,2026-08-01 07:10:46.134787,2026-08-01 07:17:07.747743,13.09
PKT-0000123,CAR-00004,L02-B02,OP-PCK-14,2026-08-01 07:10:46.134787,2026-08-01 07:17:30.195564,13.09
PKT-0000124,CAR-00004,L01-B05,OP-PCK-14,2026-08-01 07:10:46.134787,2026-08-01 07:17:52.643385,13.09
PKT-0000125,CAR-00004,L01-B11,OP-PCK-08,2026-08-01 07:10:46.134787,2026-08-01 07:18:15.091206,13.09
PKT-0000126,CAR-00004,L02-B12,OP-PCK-23,2026-08-01 07:10:46.134787,2026-08-01 07:18:37.539027,13.09
PKT-0000127,CAR-00004,L01-B12,OP-PCK-15,2026-08-01 07:10:46.134787,2026-08-01 07:18:59.986848,13.09
PKT-0000128,CAR-00004,L02-B03,OP-PCK-20,2026-08-01 07:10:46.134787,2026-08-01 07:19:22.434669,13.09
PKT-0000129,CAR-00004,L02-B03,OP-PCK-08,2026-08-01 07:10:46.134787,2026-08-01 07:19:44.882490,13.09
PKT-0000130,CAR-00004,L02-B04,OP-PCK-23,2026-08-01 07:10:46.134787,2026-08-01 07:20:07.330311,13.09
PKT-0000131,CAR-00004,L01-B11,OP-PCK-03,2026-08-01 07:10:46.134787,2026-08-01 07:20:29.778132,13.09
PKT-0000132,CAR-00004,L02-B08,OP-PCK-16,2026-08-01 07:10:46.134787,2026-08-01 07:20:52.225953,13.09
PKT-0000133,CAR-00004,L01-B03,OP-PCK-11,2026-08-01 07:10:46.134787,2026-08-01 07:21:14.673774,13.09
PKT-0000134,CAR-00004,L02-B05,OP-PCK-05,2026-08-01 07:10:46.134787,2026-08-01 07:21:37.121594,13.09
PKT-0000135,CAR-00004,L02-B10,OP-PCK-14,2026-08-01 07:10:46.134787,2026-08-01 07:21:59.569415,13.09
PKT-0000136,CAR-00004,L02-B10,OP-PCK-08,2026-08-01 07:10:46.134787,2026-08-01 07:22:22.017236,13.09
PKT-0000137,CAR-00004,L01-B07,OP-PCK-16,2026-08-01 07:10:46.134787,2026-08-01 07:22:44.465057,13.09
PKT-0000138,CAR-00004,L01-B14,OP-PCK-05,2026-08-01 07:10:46.134787,2026-08-01 07:23:06.912878,13.09
PKT-0000139,CAR-00004,L02-B09,OP-PCK-04,2026-08-01 07:10:46.134787,2026-08-01 07:23:29.360699,13.09
PKT-0000140,CAR-00004,L02-B08,OP-PCK-17,2026-08-01 07:10:46.134787,2026-08-01 07:23:51.808520,13.09
PKT-0000141,CAR-00005,L02-B05,OP-PCK-16,2026-08-01 07:42:38.337890,2026-08-01 07:43:06.704502,16.55
PKT-0000142,CAR-00005,L02-B09,OP-PCK-16,2026-08-01 07:42:38.337890,2026-08-01 07:43:35.071113,16.55
PKT-0000143,CAR-00005,L02-B09,OP-PCK-04,2026-08-01 07:42:38.337890,2026-08-01 07:44:03.437725,16.55
PKT-0000144,CAR-00005,L01-B14,OP-PCK-04,2026-08-01 07:42:38.337890,2026-08-01 07:44:31.804337,16.55
PKT-0000145,CAR-00005,L02-B08,OP-PCK-10,2026-08-01 07:42:38.337890,2026-08-01 07:45:00.170948,16.55
PKT-0000146,CAR-00005,L01-B04,OP-PCK-18,2026-08-01 07:42:38.337890,2026-08-01 07:45:28.537560,16.55
PKT-0000147,CAR-00005,L01-B13,OP-PCK-14,2026-08-01 07:42:38.337890,2026-08-01 07:45:56.904172,16.55
PKT-0000148,CAR-00005,L01-B02,OP-PCK-01,2026-08-01 07:42:38.337890,2026-08-01 07:46:25.270783,16.55
PKT-0000149,CAR-00005,L01-B06,OP-PCK-05,2026-08-01 07:42:38.337890,2026-08-01 07:46:53.637395,16.55
PKT-0000150,CAR-00005,L01-B06,OP-PCK-06,2026-08-01 07:42:38.337890,2026-08-01 07:47:22.004007,16.55
PKT-0000151,CAR-00005,L01-B12,OP-PCK-04,2026-08-01 07:42:38.337890,2026-08-01 07:47:50.370619,16.55
PKT-0000152,CAR-00005,L01-B04,OP-PCK-01,2026-08-01 07:42:38.337890,2026-08-01 07:48:18.737230,16.55
PKT-0000153,CAR-00005,L01-B05,OP-PCK-08,2026-08-01 07:42:38.337890,2026-08-01 07:48:47.103842,16.55
PKT-0000154,CAR-00005,L02-B05,OP-PCK-02,2026-08-01 07:42:38.337890,2026-08-01 07:49:15.470454,16.55
PKT-0000155,CAR-00005,L02-B06,OP-PCK-17,2026-08-01 07:42:38.337890,2026-08-01 07:49:43.837065,16.55
PKT-0000156,CAR-00005,L01-B11,OP-PCK-04,2026-08-01 07:42:38.337890,2026-08-01 07:50:12.203677,16.55
PKT-0000157,CAR-00005,L02-B05,OP-PCK-06,2026-08-01 07:42:38.337890,2026-08-01 07:50:40.570289,16.55
PKT-0000158,CAR-00005,L02-B11,OP-PCK-01,2026-08-01 07:42:38.337890,2026-08-01 07:51:08.936900,16.55
PKT-0000159,CAR-00005,L01-B10,OP-PCK-20,2026-08-01 07:42:38.337890,2026-08-01 07:51:37.303512,16.55
PKT-0000160,CAR-00005,L02-B05,OP-PCK-11,2026-08-01 07:42:38.337890,2026-08-01 07:52:05.670124,16.55
PKT-0000161,CAR-00005,L02-B01,OP-PCK-08,2026-08-01 07:42:38.337890,2026-08-01 07:52:34.036735,16.55
PKT-0000162,CAR-00005,L01-B13,OP-PCK-20,2026-08-01 07:42:38.337890,2026-08-01 07:53:02.403347,16.55
PKT-0000163,CAR-00005,L02-B11,OP-PCK-22,2026-08-01 07:42:38.337890,2026-08-01 07:53:30.769959,16.55
PKT-0000164,CAR-00005,L02-B02,OP-PCK-05,2026-08-01 07:42:38.337890,2026-08-01 07:53:59.136570,16.55
PKT-0000165,CAR-00005,L02-B03,OP-PCK-22,2026-08-01 07:42:38.337890,2026-08-01 07:54:27.503182,16.55
PKT-0000166,CAR-00005,L01-B06,OP-PCK-19,2026-08-01 07:42:38.337890,2026-08-01 07:54:55.869794,16.55
PKT-0000167,CAR-00005,L01-B02,OP-PCK-14,2026-08-01 07:42:38.337890,2026-08-01 07:55:24.236405,16.55
PKT-0000168,CAR-00005,L02-B08,OP-PCK-15,2026-08-01 07:42:38.337890,2026-08-01 07:55:52.603017,16.55
PKT-0000169,CAR-00005,L01-B01,OP-PCK-11,2026-08-01 07:42:38.337890,2026-08-01 07:56:20.969629,16.55
PKT-0000170,CAR-00005,L01-B13,OP-PCK-05,2026-08-01 07:42:38.337890,2026-08-01 07:56:49.336241,16.55
PKT-0000171,CAR-00005,L01-B13,OP-PCK-21,2026-08-01 07:42:38.337890,2026-08-01 07:57:17.702852,16.55
PKT-0000172,CAR-00005,L02-B02,OP-PCK-06,2026-08-01 07:42:38.337890,2026-08-01 07:57:46.069464,16.55
PKT-0000173,CAR-00005,L02-B11,OP-PCK-04,2026-08-01 07:42:38.337890,2026-08-01 07:58:14.436076,16.55
PKT-0000174,CAR-00005,L02-B13,OP-PCK-09,2026-08-01 07:42:38.337890,2026-08-01 07:58:42.802687,16.55
PKT-0000175,CAR-00005,L02-B03,OP-PCK-16,2026-08-01 07:42:38.337890,2026-08-01 07:59:11.169299,16.55
PKT-0000176,CAR-00006,L02-B01,OP-PCK-21,2026-08-01 07:51:54.231644,2026-08-01 07:52:19.398090,14.68
PKT-0000177,CAR-00006,L02-B03,OP-PCK-16,2026-08-01 07:51:54.231644,2026-08-01 07:52:44.564537,14.68
PKT-0000178,CAR-00006,L01-B10,OP-PCK-08,2026-08-01 07:51:54.231644,2026-08-01 07:53:09.730983,14.68
PKT-0000179,CAR-00006,L01-B07,OP-PCK-01,2026-08-01 07:51:54.231644,2026-08-01 07:53:34.897430,14.68
PKT-0000180,CAR-00006,L02-B12,OP-PCK-21,2026-08-01 07:51:54.231644,2026-08-01 07:54:00.063876,14.68
PKT-0000181,CAR-00006,L02-B09,OP-PCK-12,2026-08-01 07:51:54.231644,2026-08-01 07:54:25.230323,14.68
PKT-0000182,CAR-00006,L02-B08,OP-PCK-17,2026-08-01 07:51:54.231644,2026-08-01 07:54:50.396769,14.68
PKT-0000183,CAR-00006,L02-B11,OP-PCK-07,2026-08-01 07:51:54.231644,2026-08-01 07:55:15.563216,14.68
PKT-0000184,CAR-00006,L01-B09,OP-PCK-06,2026-08-01 07:51:54.231644,2026-08-01 07:55:40.729662,14.68
PKT-0000185,CAR-00006,L01-B08,OP-PCK-24,2026-08-01 07:51:54.231644,2026-08-01 07:56:05.896108,14.68
PKT-0000186,CAR-00006,L02-B12,OP-PCK-19,2026-08-01 07:51:54.231644,2026-08-01 07:56:31.062555,14.68
PKT-0000187,CAR-00006,L02-B02,OP-PCK-14,2026-08-01 07:51:54.231644,2026-08-01 07:56:56.229001,14.68
PKT-0000188,CAR-00006,L01-B10,OP-PCK-16,2026-08-01 07:51:54.231644,2026-08-01 07:57:21.395448,14.68
PKT-0000189,CAR-00006,L01-B08,OP-PCK-10,2026-08-01 07:51:54.231644,2026-08-01 07:57:46.561894,14.68
PKT-0000190,CAR-00006,L01-B08,OP-PCK-13,2026-08-01 07:51:54.231644,2026-08-01 07:58:11.728341,14.68
PKT-0000191,CAR-00006,L02-B08,OP-PCK-15,2026-08-01 07:51:54.231644,2026-08-01 07:58:36.894787,14.68
PKT-0000192,CAR-00006,L02-B12,OP-PCK-11,2026-08-01 07:51:54.231644,2026-08-01 07:59:02.061234,14.68
PKT-0000193,CAR-00006,L01-B14,OP-PCK-18,2026-08-01 07:51:54.231644,2026-08-01 07:59:27.227680,14.68
PKT-0000194,CAR-00006,L01-B04,OP-PCK-17,2026-08-01 07:51:54.231644,2026-08-01 07:59:52.394127,14.68
PKT-0000195,CAR-00006,L01-B11,OP-PCK-09,2026-08-01 07:51:54.231644,2026-08-01 08:00:17.560573,14.68
PKT-0000196,CAR-00006,L01-B07,OP-PCK-01,2026-08-01 07:51:54.231644,2026-08-01 08:00:42.727019,14.68
PKT-0000197,CAR-00006,L01-B10,OP-PCK-07,2026-08-01 07:51:54.231644,2026-08-01 08:01:07.893466,14.68
PKT-0000198,CAR-00006,L02-B07,OP-PCK-08,2026-08-01 07:51:54.231644,2026-08-01 08:01:33.059912,14.68
PKT-0000199,CAR-00006,L02-B03,OP-PCK-13,2026-08-01 07:51:54.231644,2026-08-01 08:01:58.226359,14.68
PKT-0000200,CAR-00006,L02-B02,OP-PCK-07,2026-08-01 07:51:54.231644,2026-08-01 08:02:23.392805,14.68
PKT-0000201,CAR-00006,L01-B05,OP-PCK-05,2026-08-01 07:51:54.231644,2026-08-01 08:02:48.559252,14.68
PKT-0000202,CAR-00006,L01-B07,OP-PCK-24,2026-08-01 07:51:54.231644,2026-08-01 08:03:13.725698,14.68
PKT-0000203,CAR-00006,L02-B07,OP-PCK-22,2026-08-01 07:51:54.231644,2026-08-01 08:03:38.892145,14.68
PKT-0000204,CAR-00006,L01-B04,OP-PCK-24,2026-08-01 07:51:54.231644,2026-08-01 08:04:04.058591,14.68
PKT-0000205,CAR-00006,L01-B03,OP-PCK-10,2026-08-01 07:51:54.231644,2026-08-01 08:04:29.225037,14.68
PKT-0000206,CAR-00006,L01-B11,OP-PCK-03,2026-08-01 07:51:54.231644,2026-08-01 08:04:54.391484,14.68
PKT-0000207,CAR-00006,L02-B01,OP-PCK-10,2026-08-01 07:51:54.231644,2026-08-01 08:05:19.557930,14.68
PKT-0000208,CAR-00006,L01-B06,OP-PCK-17,2026-08-01 07:51:54.231644,2026-08-01 08:05:44.724377,14.68
PKT-0000209,CAR-00006,L01-B04,OP-PCK-21,2026-08-01 07:51:54.231644,2026-08-01 08:06:09.890823,14.68
PKT-0000210,CAR-00006,L01-B06,OP-PCK-12,2026-08-01 07:51:54.231644,2026-08-01 08:06:35.057270,14.68
