id_carrinho,id_op_rebin,linha_rebin,dt_inicio_montagem,tempo_montagem_min,dt_fim_montagem
CAR-00043,OP-REB-04,L02,2026-08-01 18:33:52,11.79,2026-08-01 18:45:39.400
CAR-00044,OP-REB-07,L02,2026-08-01 19:04:17,14.45,2026-08-01 19:18:44.000
CAR-00045,OP-REB-08,L01,2026-08-01 19:34:34,12.08,2026-08-01 19:46:38.800
CAR-00046,OP-REB-01,L02,2026-08-01 19:36:24,12.27,2026-08-01 19:48:40.200
CAR-00047,OP-REB-04,L01,2026-08-01 19:38:24,12.74,2026-08-01 19:51:08.400
CAR-00048,OP-REB-06,L02,2026-08-01 19:38:35,10.42,2026-08-01 19:49:00.200
CAR-00049,OP-REB-03,L01,2026-08-01 20:07:41,14.39,2026-08-01 20:22:04.400
CAR-00050,OP-REB-05,L02,2026-08-01 20:13:46,9.76,2026-08-01 20:23:31.600
CAR-00051,OP-REB-09,L01,2026-08-01 20:22:25,11.2,2026-08-01 20:33:37.000
CAR-00052,OP-REB-03,L01,2026-08-01 20:25:34,13.05,2026-08-01 20:38:37.000
CAR-00053,OP-REB-05,L02,2026-08-01 20:35:28,10.98,2026-08-01 20:46:26.800
CAR-00054,OP-REB-08,L02,2026-08-01 21:26:49,13.56,2026-08-01 21:40:22.600
CAR-00055,OP-REB-06,L01,2026-08-01 22:26:22,14.75,2026-08-01 22:41:07.000
CAR-00056,OP-REB-04,L02,2026-08-01 22:49:05,14.03,2026-08-01 23:03:06.800
CAR-00057,OP-REB-08,L01,2026-08-01 22:58:07,8.13,2026-08-01 23:06:14.800
CAR-00058,OP-REB-03,L02,2026-08-01 23:02:47,12.25,2026-08-01 23:15:02.000
CAR-00059,OP-REB-03,L02,2026-08-01 23:04:36,14.06,2026-08-01 23:18:39.600
CAR-00060,OP-REB-04,L01,2026-08-01 23:30:37,9.37,2026-08-01 23:39:59.200
CAR-00061,OP-REB-09,L01,2026-08-01 23:40:46,13.45,2026-08-01 23:54:13.000
CAR-00062,OP-REB-05,L02,2026-08-01 23:52:03,13.33,2026-08-02 00:05:22.800
CAR-00063,OP-REB-08,L02,2026-08-02 00:08:38,9.58,2026-08-02 00:18:12.800
CAR-00064,OP-REB-06,L02,2026-08-02 00:15:25,13.67,2026-08-02 00:29:05.200
CAR-00065,OP-REB-03,L02,2026-08-02 00:19:13,12.55,2026-08-02 00:31:46.000
CAR-00066,OP-REB-08,L02,2026-08-02 00:22:30,13.3,2026-08-02 00:35:48.000
CAR-00067,OP-REB-09,L01,2026-08-02 00:23:23,10.07,2026-08-02 00:33:27.200
CAR-00068,OP-REB-08,L02,2026-08-02 00:23:54,12.3,2026-08-02 00:36:12.000
CAR-00069,OP-REB-04,L02,2026-08-02 00:47:22,8.59,2026-08-02 00:55:57.400
CAR-00070,OP-REB-06,L01,2026-08-02 00:47:41,7.45,2026-08-02 00:55:08.000
CAR-00071,OP-REB-01,L01,2026-08-02 00:55:48,12.28,2026-08-02 01:08:04.800
CAR-00072,OP-REB-04,L01,2026-08-02 01:08:40,14.2,2026-08-02 01:22:52.000
CAR-00073,OP-REB-08,L02,2026-08-02 01:28:39,12.51,2026-08-02 01:41:09.600
CAR-00074,OP-REB-01,L01,2026-08-02 01:33:10,11.87,2026-08-02 01:45:02.200
CAR-00075,OP-REB-03,L01,2026-08-02 01:37:20,11.62,2026-08-02 01:48:57.200
CAR-00076,OP-REB-01,L01,2026-08-02 01:48:15,10.11,2026-08-02 01:58:21.600
CAR-00077,OP-REB-09,L01,2026-08-02 02:33:17,11.56,2026-08-02 02:44:50.600
CAR-00078,OP-REB-02,L02,2026-08-02 02:41:00,12.84,2026-08-02 02:53:50.400
CAR-00079,OP-REB-09,L02,2026-08-02 02:56:28,11.13,2026-08-02 03:07:35.800
CAR-00080,OP-REB-04,L02,2026-08-02 03:02:46,13.5,2026-08-02 03:16:16.000
CAR-00081,OP-REB-02,L01,2026-08-02 03:07:57,12.39,2026-08-02 03:20:20.400
CAR-00082,OP-REB-04,L01,2026-08-02 03:10:18,12.63,2026-08-02 03:22:55.800
CAR-00083,OP-REB-06,L01,2026-08-02 03:21:38,13.78,2026-08-02 03:35:24.800
CAR-00084,OP-REB-07,L01,2026-08-02 03:53:01,10.95,2026-08-02 04:03:58.000
CAR-00085,OP-REB-03,L01,2026-08-02 03:58:03,13.32,2026-08-02 04:11:22.200
CAR-00086,OP-REB-03,L01,2026-08-02 03:59:01,11.23,2026-08-02 04:10:14.800
CAR-00087,OP-REB-08,L02,2026-08-02 04:12:53,12.68,2026-08-02 04:25:33.800
CAR-00088,OP-REB-05,L02,2026-08-02 04:17:37,10.71,2026-08-02 04:28:19.600
CAR-00089,OP-REB-04,L01,2026-08-02 04:34:24,10.18,2026-08-02 04:44:34.800
CAR-00090,OP-REB-07,L02,2026-08-02 05:21:20,12.18,2026-08-02 05:33:30.800
CAR-00091,OP-REB-07,L01,2026-08-02 05:30:54,8.23,2026-08-02 05:39:07.800
CAR-00092,OP-REB-09,L01,2026-08-02 05:59:25,11.41,2026-08-02 06:10:49.600
CAR-00093,OP-REB-09,L02,2026-08-02 06:17:48,8.79,2026-08-02 06:26:35.400
CAR-00094,OP-REB-05,L01,2026-08-02 06:25:55,13.56,2026-08-02 06:39:28.600
CAR-00095,OP-REB-08,L02,2026-08-02 07:01:33,14.1,2026-08-02 07:15:39.000
CAR-00096,OP-REB-01,L01,2026-08-02 07:16:46,10.27,2026-08-02 07:27:02.200
CAR-00097,OP-REB-09,L01,2026-08-02 07:31:05,12.86,2026-08-02 07:43:56.600
CAR-00098,OP-REB-08,L02,2026-08-02 07:36:33,13.8,2026-08-02 07:50:21.000
CAR-00099,OP-REB-06,L01,2026-08-02 07:38:44,13.8,2026-08-02 07:52:32.000
CAR-00100,OP-REB-03,L01,2026-08-02 07:43:21,12.43,2026-08-02 07:55:46.800
CAR-00101,OP-REB-03,L01,2026-08-02 08:06:58,13.47,2026-08-02 08:20:26.200
CAR-00102,OP-REB-08,L02,2026-08-02 09:26:58,10.7,2026-08-02 09:37:40.000
CAR-00103,OP-REB-05,L01,2026-08-02 09:50:35,12.17,2026-08-02 10:02:45.200
CAR-00104,OP-REB-07,L01,2026-08-02 09:58:54,11.07,2026-08-02 10:09:58.200
CAR-00105,OP-REB-05,L01,2026-08-02 10:09:36,10.53,2026-08-02 10:20:07.800
CAR-00106,OP-REB-08,L02,2026-08-02 10:42:35,12.07,2026-08-02 10:54:39.200
CAR-00107,OP-REB-04,L02,2026-08-02 10:56:35,12.7,2026-08-02 11:09:17.000
CAR-00108,OP-REB-02,L02,2026-08-02 10:56:51,14.33,2026-08-02 11:11:10.800
CAR-00109,OP-REB-03,L02,2026-08-02 11:02:35,12.53,2026-08-02 11:15:06.800
CAR-00110,OP-REB-08,L02,2026-08-02 11:13:48,13.28,2026-08-02 11:27:04.800
CAR-00111,OP-REB-07,L01,2026-08-02 11:28:01,13.31,2026-08-02 11:41:19.600
CAR-00112,OP-REB-02,L02,2026-08-02 11:50:50,17.38,2026-08-02 12:08:12.800
CAR-00113,OP-REB-06,L02,2026-08-02 12:15:40,8.38,2026-08-02 12:24:02.800
CAR-00114,OP-REB-09,L01,2026-08-02 12:25:56,10.62,2026-08-02 12:36:33.200
CAR-00115,OP-REB-04,L02,2026-08-02 12:34:38,14.95,2026-08-02 12:49:35.000
CAR-00116,OP-REB-09,L01,2026-08-02 12:37:48,11.3,2026-08-02 12:49:06.000
CAR-00117,OP-REB-02,L02,2026-08-02 13:20:16,13.77,2026-08-02 13:34:02.200
CAR-00118,OP-REB-02,L01,2026-08-02 13:23:10,12.46,2026-08-02 13:35:37.600
CAR-00119,OP-REB-09,L01,2026-08-02 14:01:34,16.21,2026-08-02 14:17:46.600
CAR-00120,OP-REB-07,L02,2026-08-02 14:02:39,9.77,2026-08-02 14:12:25.200
CAR-00121,OP-REB-07,L02,2026-08-02 14:19:41,14.44,2026-08-02 14:34:07.400
CAR-00122,OP-REB-01,L01,2026-08-02 14:21:32,15.5,2026-08-02 14:37:02.000
CAR-00123,OP-REB-06,L01,2026-08-02 14:25:39,9.97,2026-08-02 14:35:37.200
CAR-00124,OP-REB-07,L01,2026-08-02 14:43:16,13.57,2026-08-02 14:56:50.200
CAR-00125,OP-REB-06,L01,2026-08-02 14:47:13,10.07,2026-08-02 14:57:17.200
CAR-00126,OP-REB-06,L01,2026-08-02 14:53:33,12.06,2026-08-02 15:05:36.600
CAR-00127,OP-REB-02,L01,2026-08-02 15:00:34,11.49,2026-08-02 15:12:03.400
CAR-00128,OP-REB-06,L01,2026-08-02 16:00:02,7.19,2026-08-02 16:07:13.400
CAR-00129,OP-REB-04,L02,2026-08-02 16:00:09,12.85,2026-08-02 16:13:00.000
CAR-00130,OP-REB-09,L01,2026-08-02 16:05:44,12.29,2026-08-02 16:18:01.400
CAR-00131,OP-REB-01,L02,2026-08-02 16:06:15,14.96,2026-08-02 16:21:12.600
CAR-00132,OP-REB-08,L02,2026-08-02 16:14:17,13.22,2026-08-02 16:27:30.200
CAR-00133,OP-REB-05,L01,2026-08-02 16:20:18,16.58,2026-08-02 16:36:52.800
CAR-00134,OP-REB-01,L01,2026-08-02 16:28:43,12.21,2026-08-02 16:40:55.600
CAR-00135,OP-REB-04,L02,2026-08-02 16:58:05,11.79,2026-08-02 17:09:52.400
CAR-00136,OP-REB-01,L01,2026-08-02 16:59:51,11.63,2026-08-02 17:11:28.800
CAR-00137,OP-REB-06,L01,2026-08-02 17:01:48,11.12,2026-08-02 17:12:55.200
CAR-00138,OP-REB-02,L02,2026-08-02 17:32:28,7.58,2026-08-02 17:40:02.800
CAR-00139,OP-REB-05,L02,2026-08-02 17:38:42,11.56,2026-08-02 17:50:15.600
CAR-00140,OP-REB-07,L02,2026-08-02 17:39:51,7.86,2026-08-02 17:47:42.600
CAR-00141,OP-REB-02,L01,2026-08-02 17:55:50,12.9,2026-08-02 18:08:44.000
CAR-00142,OP-REB-06,L01,2026-08-02 18:29:33,9.52,2026-08-02 18:39:04.200
CAR-00143,OP-REB-06,L02,2026-08-02 18:51:57,10.21,2026-08-02 19:02:09.600
CAR-00144,OP-REB-05,L01,2026-08-02 19:01:12,10.66,2026-08-02 19:11:51.600
CAR-00145,OP-REB-05,L02,2026-08-02 19:05:15,11.59,2026-08-02 19:16:50.400
CAR-00146,OP-REB-03,L01,2026-08-02 19:05:54,12.01,2026-08-02 19:17:54.600
CAR-00147,OP-REB-02,L02,2026-08-02 19:14:15,14.17,2026-08-02 19:28:25.200
CAR-00148,OP-REB-07,L01,2026-08-02 19:33:50,10.84,2026-08-02 19:44:40.400
CAR-00149,OP-REB-01,L02,2026-08-02 19:52:10,12.96,2026-08-02 20:05:07.600
CAR-00150,OP-REB-06,L01,2026-08-02 20:03:43,17.46,2026-08-02 20:21:10.600
CAR-00151,OP-REB-06,L01,2026-08-02 20:11:18,12.75,2026-08-02 20:24:03.000
CAR-00152,OP-REB-03,L02,2026-08-02 20:29:23,11.64,2026-08-02 20:41:01.400
CAR-00153,OP-REB-02,L01,2026-08-02 20:39:42,10.44,2026-08-02 20:50:08.400
CAR-00154,OP-REB-02,L01,2026-08-02 21:13:34,11.61,2026-08-02 21:25:10.600
CAR-00155,OP-REB-09,L02,2026-08-02 21:16:38,10.23,2026-08-02 21:26:51.800
CAR-00156,OP-REB-05,L01,2026-08-02 21:19:24,12.54,2026-08-02 21:31:56.400
CAR-00157,OP-REB-07,L01,2026-08-02 21:34:43,12.21,2026-08-02 21:46:55.600
CAR-00158,OP-REB-05,L01,2026-08-02 22:05:56,7.68,2026-08-02 22:13:36.800
CAR-00159,OP-REB-07,L02,2026-08-02 22:08:59,11.96,2026-08-02 22:20:56.600
CAR-00160,OP-REB-04,L02,2026-08-02 22:15:31,14.15,2026-08-02 22:29:40.000
CAR-00161,OP-REB-08,L02,2026-08-02 22:21:11,11.2,2026-08-02 22:32:23.000
CAR-00162,OP-REB-07,L02,2026-08-02 22:29:48,10.69,2026-08-02 22:40:29.400
CAR-00163,OP-REB-05,L02,2026-08-02 22:41:10,9.24,2026-08-02 22:50:24.400
CAR-00164,OP-REB-06,L01,2026-08-02 22:57:23,8.28,2026-08-02 23:05:39.800
CAR-00165,OP-REB-05,L01,2026-08-02 23:01:58,13.66,2026-08-02 23:15:37.600
CAR-00166,OP-REB-07,L02,2026-08-03 00:04:16,11.64,2026-08-03 00:15:54.400
CAR-00167,OP-REB-02,L01,2026-08-03 00:19:20,13.54,2026-08-03 00:32:52.400
CAR-00168,OP-REB-05,L01,2026-08-03 00:29:59,15.06,2026-08-03 00:45:02.600
CAR-00169,OP-REB-03,L01,2026-08-03 01:14:43,13.84,2026-08-03 01:28:33.400
CAR-00170,OP-REB-09,L01,2026-08-03 01:28:18,10.92,2026-08-03 01:39:13.200
CAR-00171,OP-REB-06,L02,2026-08-03 01:39:24,12.29,2026-08-03 01:51:41.400
CAR-00172,OP-REB-03,L02,2026-08-03 01:48:22,10.77,2026-08-03 01:59:08.200
CAR-00173,OP-REB-07,L01,2026-08-03 01:49:55,10.58,2026-08-03 02:00:29.800
CAR-00174,OP-REB-04,L01,2026-08-03 01:54:16,12.69,2026-08-03 02:06:57.400
CAR-00175,OP-REB-03,L02,2026-08-03 02:07:03,10.34,2026-08-03 02:17:23.400
CAR-00176,OP-REB-08,L01,2026-08-03 02:28:01,7.58,2026-08-03 02:35:35.800
CAR-00177,OP-REB-04,L01,2026-08-03 02:33:01,10.22,2026-08-03 02:43:14.200
CAR-00178,OP-REB-01,L01,2026-08-03 02:39:35,11.39,2026-08-03 02:50:58.400
CAR-00179,OP-REB-06,L02,2026-08-03 03:17:18,15.04,2026-08-03 03:32:20.400
CAR-00180,OP-REB-01,L02,2026-08-03 03:21:13,11.02,2026-08-03 03:32:14.200
CAR-00181,OP-REB-05,L01,2026-08-03 03:34:13,13.02,2026-08-03 03:47:14.200
CAR-00182,OP-REB-07,L01,2026-08-03 03:59:35,11.66,2026-08-03 04:11:14.600
CAR-00183,OP-REB-06,L01,2026-08-03 04:14:32,14.45,2026-08-03 04:28:59.000
CAR-00184,OP-REB-02,L01,2026-08-03 05:15:02,14.31,2026-08-03 05:29:20.600
CAR-00185,OP-REB-04,L01,2026-08-03 06:20:23,14.35,2026-08-03 06:34:44.000
CAR-00186,OP-REB-02,L01,2026-08-03 06:40:11,8.53,2026-08-03 06:48:42.800
CAR-00187,OP-REB-01,L02,2026-08-03 06:54:36,12.41,2026-08-03 07:07:00.600
CAR-00188,OP-REB-03,L02,2026-08-03 07:03:35,13.52,2026-08-03 07:17:06.200
CAR-00189,OP-REB-03,L01,2026-08-03 07:23:09,12.76,2026-08-03 07:35:54.600
CAR-00190,OP-REB-07,L02,2026-08-03 07:31:14,13.27,2026-08-03 07:44:30.200
CAR-00191,OP-REB-01,L01,2026-08-03 07:49:12,12.12,2026-08-03 08:01:19.200
CAR-00192,OP-REB-09,L01,2026-08-03 07:57:10,10.51,2026-08-03 08:07:40.600
CAR-00193,OP-REB-06,L02,2026-08-03 08:09:13,8.61,2026-08-03 08:17:49.600
CAR-00194,OP-REB-04,L02,2026-08-03 08:22:40,10.71,2026-08-03 08:33:22.600
CAR-00195,OP-REB-03,L01,2026-08-03 08:51:02,17.36,2026-08-03 09:08:23.600
CAR-00196,OP-REB-03,L01,2026-08-03 09:07:44,11.03,2026-08-03 09:18:45.800
CAR-00197,OP-REB-02,L02,2026-08-03 09:13:43,8.08,2026-08-03 09:21:47.800
CAR-00198,OP-REB-02,L02,2026-08-03 09:53:53,13.47,2026-08-03 10:07:21.200
CAR-00199,OP-REB-05,L01,2026-08-03 10:00:10,13.71,2026-08-03 10:13:52.600
CAR-00200,OP-REB-09,L01,2026-08-03 10:07:08,14.57,2026-08-03 10:21:42.200
CAR-00201,OP-REB-02,L01,2026-08-03 10:20:56,12.94,2026-08-03 10:33:52.400
CAR-00202,OP-REB-02,L02,2026-08-03 10:21:30,13.69,2026-08-03 10:35:11.400
CAR-00203,OP-REB-06,L01,2026-08-03 10:36:47,15.68,2026-08-03 10:52:27.800
CAR-00204,OP-REB-02,L02,2026-08-03 10:58:26,10.51,2026-08-03 11:08:56.600
CAR-00205,OP-REB-04,L01,2026-08-03 11:07:12,10.11,2026-08-03 11:17:18.600
CAR-00206,OP-REB-06,L02,2026-08-03 11:15:03,9.81,2026-08-03 11:24:51.600
CAR-00207,OP-REB-05,L02,2026-08-03 11:45:10,11.47,2026-08-03 11:56:38.200
CAR-00208,OP-REB-01,L02,2026-08-03 11:49:43,14.87,2026-08-03 12:04:35.200
CAR-00209,OP-REB-06,L02,2026-08-03 12:14:06,13.06,2026-08-03 12:27:09.600
CAR-00210,OP-REB-01,L01,2026-08-03 12:21:56,12.98,2026-08-03 12:34:54.800
CAR-00211,OP-REB-03,L02,2026-08-03 12:36:22,8.36,2026-08-03 12:44:43.600
CAR-00212,OP-REB-05,L02,2026-08-03 12:39:29,10.61,2026-08-03 12:50:05.600
CAR-00213,OP-REB-05,L02,2026-08-03 12:56:15,8.33,2026-08-03 13:04:34.800
CAR-00214,OP-REB-06,L01,2026-08-03 13:37:15,14.34,2026-08-03 13:51:35.400
CAR-00215,OP-REB-08,L01,2026-08-03 13:52:19,15.17,2026-08-03 14:07:29.200
CAR-00216,OP-REB-05,L01,2026-08-03 14:37:41,13.56,2026-08-03 14:51:14.600
CAR-00217,OP-REB-01,L01,2026-08-03 14:46:06,10.03,2026-08-03 14:56:07.800
CAR-00218,OP-REB-05,L01,2026-08-03 14:47:31,14.96,2026-08-03 15:02:28.600
CAR-00219,OP-REB-03,L01,2026-08-03 14:50:15,11.49,2026-08-03 15:01:44.400
CAR-00220,OP-REB-04,L02,2026-08-03 15:09:28,9.57,2026-08-03 15:19:02.200
CAR-00221,OP-REB-08,L02,2026-08-03 15:21:27,10.07,2026-08-03 15:31:31.200
CAR-00222,OP-REB-07,L02,2026-08-03 15:46:30,11.14,2026-08-03 15:57:38.400
CAR-00223,OP-REB-05,L01,2026-08-03 16:50:30,12.1,2026-08-03 17:02:36.000
CAR-00224,OP-REB-02,L02,2026-08-03 17:19:27,11.68,2026-08-03 17:31:07.800
CAR-00225,OP-REB-06,L02,2026-08-03 17:25:20,9.17,2026-08-03 17:34:30.200
CAR-00226,OP-REB-06,L01,2026-08-03 17:25:45,14.43,2026-08-03 17:40:10.800
CAR-00227,OP-REB-06,L02,2026-08-03 17:27:00,11.7,2026-08-03 17:38:42.000
CAR-00228,OP-REB-09,L01,2026-08-03 17:44:08,10.57,2026-08-03 17:54:42.200
CAR-00229,OP-REB-08,L02,2026-08-03 17:50:00,14.22,2026-08-03 18:04:13.200
CAR-00230,OP-REB-08,L01,2026-08-03 18:20:15,9.63,2026-08-03 18:29:52.800
CAR-00231,OP-REB-01,L01,2026-08-03 18:21:25,8.74,2026-08-03 18:30:09.400
CAR-00232,OP-REB-05,L01,2026-08-03 18:50:55,14.54,2026-08-03 19:05:27.400
CAR-00233,OP-REB-07,L02,2026-08-03 19:09:29,15.78,2026-08-03 19:25:15.800
CAR-00234,OP-REB-06,L02,2026-08-03 19:54:26,11.08,2026-08-03 20:05:30.800
CAR-00235,OP-REB-05,L01,2026-08-03 20:15:37,11.91,2026-08-03 20:27:31.600
CAR-00236,OP-REB-08,L01,2026-08-03 20:24:55,9.71,2026-08-03 20:34:37.600
CAR-00237,OP-REB-03,L02,2026-08-03 20:30:19,12.01,2026-08-03 20:42:19.600
CAR-00238,OP-REB-06,L02,2026-08-03 20:30:49,11.05,2026-08-03 20:41:52.000
CAR-00239,OP-REB-05,L01,2026-08-03 20:34:41,11.8,2026-08-03 20:46:29.000
CAR-00240,OP-REB-08,L02,2026-08-03 21:08:06,12.82,2026-08-03 21:20:55.200
CAR-00241,OP-REB-04,L02,2026-08-03 21:18:17,9.8,2026-08-03 21:28:05.000
CAR-00242,OP-REB-08,L02,2026-08-03 21:21:11,11.28,2026-08-03 21:32:27.800
CAR-00243,OP-REB-02,L01,2026-08-03 21:28:24,8.39,2026-08-03 21:36:47.400
CAR-00244,OP-REB-09,L01,2026-08-03 21:29:36,11.29,2026-08-03 21:40:53.400
CAR-00245,OP-REB-09,L02,2026-08-03 21:38:24,11.81,2026-08-03 21:50:12.600
CAR-00246,OP-REB-06,L01,2026-08-03 21:56:43,12.46,2026-08-03 22:09:10.600
CAR-00247,OP-REB-04,L02,2026-08-03 22:25:15,12.48,2026-08-03 22:37:43.800
CAR-00248,OP-REB-04,L02,2026-08-03 22:38:52,13.81,2026-08-03 22:52:40.600
CAR-00249,OP-REB-06,L01,2026-08-03 22:56:22,8.92,2026-08-03 23:05:17.200
CAR-00250,OP-REB-05,L01,2026-08-03 23:06:26,9.03,2026-08-03 23:15:27.800
CAR-00251,OP-REB-06,L01,2026-08-04 01:35:06,13.06,2026-08-04 01:48:09.600
CAR-00252,OP-REB-07,L02,2026-08-04 01:36:13,7.92,2026-08-04 01:44:08.200
CAR-00253,OP-REB-07,L02,2026-08-04 01:59:21,12.37,2026-08-04 02:11:43.200
CAR-00254,OP-REB-09,L01,2026-08-04 02:12:26,9.64,2026-08-04 02:22:04.400
CAR-00255,OP-REB-08,L01,2026-08-04 03:04:43,15.15,2026-08-04 03:19:52.000
CAR-00256,OP-REB-06,L01,2026-08-04 03:17:54,12.5,2026-08-04 03:30:24.000
CAR-00257,OP-REB-06,L02,2026-08-04 03:29:55,11.56,2026-08-04 03:41:28.600
CAR-00258,OP-REB-05,L02,2026-08-04 03:41:15,14.46,2026-08-04 03:55:42.600
CAR-00259,OP-REB-01,L02,2026-08-04 03:49:11,9.87,2026-08-04 03:59:03.200
CAR-00260,OP-REB-09,L01,2026-08-04 03:50:51,10.25,2026-08-04 04:01:06.000
CAR-00261,OP-REB-09,L01,2026-08-04 03:51:32,9.48,2026-08-04 04:01:00.800
CAR-00262,OP-REB-09,L02,2026-08-04 03:52:17,10.27,2026-08-04 04:02:33.200
CAR-00263,OP-REB-08,L01,2026-08-04 03:58:44,12.12,2026-08-04 04:10:51.200
CAR-00264,OP-REB-03,L01,2026-08-04 04:24:50,12.99,2026-08-04 04:37:49.400
CAR-00265,OP-REB-01,L01,2026-08-04 04:40:44,13.92,2026-08-04 04:54:39.200
CAR-00266,OP-REB-08,L01,2026-08-04 05:15:08,8.35,2026-08-04 05:23:29.000
CAR-00267,OP-REB-07,L02,2026-08-04 05:34:41,11.66,2026-08-04 05:46:20.600
CAR-00268,OP-REB-05,L01,2026-08-04 05:48:37,9.78,2026-08-04 05:58:23.800
CAR-00269,OP-REB-07,L02,2026-08-04 06:09:07,11.59,2026-08-04 06:20:42.400
CAR-00270,OP-REB-04,L02,2026-08-04 06:15:16,16.67,2026-08-04 06:31:56.200
CAR-00271,OP-REB-09,L01,2026-08-04 06:28:30,12.58,2026-08-04 06:41:04.800
CAR-00272,OP-REB-02,L02,2026-08-04 07:23:43,13.8,2026-08-04 07:37:31.000
CAR-00273,OP-REB-09,L02,2026-08-04 07:28:20,15.92,2026-08-04 07:44:15.200
CAR-00274,OP-REB-09,L01,2026-08-04 07:49:58,14.25,2026-08-04 08:04:13.000
CAR-00275,OP-REB-05,L02,2026-08-04 08:35:12,11.1,2026-08-04 08:46:18.000
CAR-00276,OP-REB-01,L02,2026-08-04 08:40:54,9.45,2026-08-04 08:50:21.000
CAR-00277,OP-REB-07,L02,2026-08-04 08:45:14,11.94,2026-08-04 08:57:10.400
